"","coef","standard_error","T_value","P_value"
"modelHonda Fit ",-0.669749705816164,0.0263836053600838,-25.3850713985223,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000547833120656584
"modelHonda Odyssey ",-0.241931677785256,0.0332228663856262,-7.2820832187414,0.000000000000352468673704771
"modelHonda Pilot ",0.161560929069994,0.0775426031876803,2.08351180420084,0.0372289252077694
"modelHyundai Elantra ",-0.331623908106599,0.018133582686129,-18.2878316903294,0.000000000000000000000000000000000000000000000000000000000000000000000000145700154089875
"modelHyundai Այլ/Օther ",-0.332370618779045,0.153893026105448,-2.15975101140258,0.030814701974942
"modelHyundai Santa Fe ",-0.0494351785613201,0.041266581761917,-1.19794701791709,0.230964909731482
"modelHyundai Solaris ",-0.291023460371904,0.0494296660917166,-5.88762747925328,0.00000000403882826946658
"modelHyundai Sonata ",-0.360180204462853,0.0171269201098771,-21.0300627405354,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000342223254758403
"modelHyundai Tucson ",0.0202155915843866,0.0359144104783664,0.562882456237553,0.57352704569827
"modelHyundai Veloster ",-0.238246004037606,0.037070205974513,-6.42688643816568,0.000000000135941129318581
"modelInfiniti EX35 ",-0.00873096880937391,0.0528787643181563,-0.165112950764927,0.868858284781452
"modelInfiniti FX35 ",0.199077784821873,0.0209007463792664,9.52491270930683,0.00000000000000000000201910512765675
"modelInfiniti G35 ",-0.227737763439094,0.0363184206723636,-6.27058553821946,0.000000000373957054808878
"modelInfiniti G37 ",-0.0783421372933554,0.0635460539003039,-1.2328403179254,0.21766317760491
"modelInfiniti QX4 ",-0.00727678424667655,0.0496741322538881,-0.146490414960535,0.883537091808051
"modelJeep Grand Cherokee ",-0.106012383409831,0.0342773343652557,-3.09278377017811,0.00198813089286758
"modelJeep Liberty ",-0.243404409626142,0.069446785153148,-3.50490536155666,0.000458689998963604
"modelKia Cerato ",-0.503290909329839,0.0535060536727463,-9.40624237414457,0.00000000000000000000622466419134846
