brand,date,id_val,model,price,year,Անվահեծերը,Գույնը,Դռների քանակը,Թափքը,Ձիաուժը,Ղեկը,Մխոցների քանակը,Մոդիֆիկացիան,Շարժիչը,Շարժիչի ծավալը,Սրահի գույնը,Վազքը,Փոխանցման տուփը,Քարշակը
Opel, Տեղադրված է՝  22.12.2018, ID: 1942501,Astra ,3 000 $,2000,,Սև,5,Հետչբեք,75,Ձախ,4,"1,6 prastoy",Բենզին,1.6,Սև,198000 կմ,Մեխանիկական,Առջևի
Mitsubishi, Տեղադրված է՝  22.12.2018, ID: 1942482,Grandis ,3 700 $,2003,,Սպիտակ,,Կուպե,,Աջ,,,Բենզին,,,142000 կմ,Ավտոմատ,
Kia, Տեղադրված է՝  22.12.2018, ID: 1942480,Optima ,7 900 $,2011,,Սև,,Սեդան,,Ձախ,,POLNI FULL PANORAMA EX.SHTAAP,Բենզին,2.4,Սպիտակ,69000 մղոն,Ավտոմատ,
Opel, Տեղադրված է՝  22.12.2018, ID: 1942477,Zafira ,2 700 $,2001,,Կարմիր,,Ունիվերսալ,,Աջ,,Subaru trayvik,Գազ,,,201000 կմ,Ավտոմատ,
Opel, Տեղադրված է՝  22.12.2018, ID: 1942472,Astra ,3 000 $,2002,"15""",Արծաթագույն,4,Հետչբեք,,Ձախ,4,Astra G,Բենզին,1.6,Սև,190000 կմ,Մեխանիկական,Առջևի
Lexus, Տեղադրված է՝  22.12.2018, ID: 1942467,RX 350 ,5 760 000 ֏,2007,"18""",Այլ գույն,5,Ամենագնաց,280,Ձախ,,,Բենզին,3.5,Սև,110000 կմ,Ավտոմատ,Լիաքարշակ
Lexus, Տեղադրված է՝  22.12.2018, ID: 1942446,GX 460 ,39 999 $,2014,"20""",Սև,5,Ամենագնաց,301,Ձախ,8,RESTAYL,Բենզին,4.6,Բեժ,59500 կմ,Ավտոմատ,Լիաքարշակ
Kia, Տեղադրված է՝  22.12.2018, ID: 1942442,Forte ,6 700 $,2010,"16""",Բալագույն,2,Կուպե,,Ձախ,,,Բենզին,2,,170000 կմ,Ավտոմատ,Առջևի
Kia, Տեղադրված է՝  22.12.2018, ID: 1942441,Forte ,6 700 $,2010,"16""",Բալագույն,2,Կուպե,,Ձախ,,,Բենզին,2,,170000 կմ,Ավտոմատ,Առջևի
Kia, Տեղադրված է՝  22.12.2018, ID: 1942440,Forte ,6 700 $,2010,"16""",Բալագույն,2,Կուպե,,Ձախ,,,Բենզին,2,,170000 կմ,Ավտոմատ,Առջևի
Kia, Տեղադրված է՝  22.12.2018, ID: 1942439,Forte ,6 700 $,2010,"16""",Բալագույն,2,Կուպե,,Ձախ,,,Բենզին,2,,170000 կմ,Ավտոմատ,Առջևի
Mitsubishi, Տեղադրված է՝  22.12.2018, ID: 1942435,Pajero Pinin (IO) ,4 600 $,2006,,Արծաթագույն,,Ամենագնաց,,Փոխված աջից ձախ,,,Բենզին,,,141000 կմ,Ավտոմատ,
Opel, Տեղադրված է՝  22.12.2018, ID: 1942430,Zafira ,3 150 $,2001,,Արծաթագույն,,Ունիվերսալ,,Աջ,,,Գազ,,,175000 կմ,Ավտոմատ,
Kia, Տեղադրված է՝  22.12.2018, ID: 1942387,Optima ,9 300 $,2015,,Սպիտակ,,Սեդան,200,Ձախ,4,SHTAP! KIA OPTIMA RESTYLING,Բենզին,2.4,Սև,72000 մղոն,Ավտոմատ,Առջևի
Opel, Տեղադրված է՝  22.12.2018, ID: 1942379,Astra ,3 000 $,2001,,Կապույտ,,Սեդան,,Ձախ,,2001,Գազ,,,173000 կմ,Մեխանիկական,
